jee_main_score,school_board,class_12_percent,attempt_count,coaching_institute,daily_study_hours,family_income,parent_education,location_type,peer_pressure_level,mental_health_issues,admission_taken,dropout,Income vs Admission,PSxIA,peer_focused_mh,parental_support
60.68,1,71.23,1,0,5.5,2,0,2,2,0,1,0,5,8.25,4,1.65
64.98,2,60.25,2,1,2.6,0,2,0,1,0,0,1,0,0.0,2,1.2300000000000002
84.82,0,65.02,2,0,4.2,2,0,0,1,1,0,0,2,2.52,3,1.26
76.6,0,80.67,2,0,5.5,2,2,2,0,0,0,0,2,4.1,0,2.05
64.58,0,65.55,1,2,2.9,2,0,2,0,1,0,0,2,1.94,1,0.97
79.19,0,91.1,2,2,7.1,1,3,2,0,0,0,0,1,2.83,0,2.83
73.36,1,86.89,1,1,2.6,0,2,2,1,1,1,0,3,3.69,3,1.2300000000000002
85.56,1,88.33,2,2,3.2,0,3,1,2,1,1,0,3,4.98,5,1.66
62.17,2,76.25,2,1,3.4,1,3,1,2,0,0,0,1,1.6700000000000002,4,1.6700000000000002
67.41,1,77.58,2,0,6.0,0,1,1,2,1,0,1,0,0.0,5,2.0
66.51,1,63.06,2,0,2.9,1,2,1,1,0,1,0,4,5.08,2,1.27
51.51,2,84.96,2,0,0.9,0,0,1,1,1,1,0,3,0.81,3,0.27
76.15,0,78.8,2,1,6.7,0,0,2,2,0,1,0,3,6.179999999999999,4,2.06
75.65,2,80.67,2,0,3.6,0,2,1,2,0,1,0,3,4.44,4,1.48
72.07,2,91.88,2,0,2.4,2,1,1,2,0,0,0,2,1.84,4,0.92
68.72,0,68.94,2,0,3.0,0,2,2,1,0,0,1,0,0.0,2,1.2999999999999998
52.18,2,73.74,2,0,7.9,2,3,2,0,0,1,0,5,14.85,0,2.97
66.11,2,78.27,1,0,3.2,2,1,0,0,1,0,0,2,2.32,1,1.16
67.2,2,65.65,1,0,4.3,2,3,0,1,0,0,0,2,3.78,2,1.89
60.77,1,73.12,2,0,3.6,1,2,0,0,1,1,0,4,5.92,1,1.48
69.74,0,79.93,2,0,2.0,0,1,1,2,1,0,1,0,0.0,5,0.8
77.66,0,71.75,1,1,3.0,0,2,2,0,0,0,1,0,0.0,0,1.35
98.41,2,88.09,1,0,1.9,0,2,0,2,1,0,1,0,0.0,5,0.97
74.44,1,59.89,1,0,6.4,2,1,0,1,1,1,0,5,10.6,3,2.12
75.61,0,86.23,2,0,4.7,0,1,1,1,1,1,0,3,4.83,3,1.61
70.96,0,81.61,2,0,9.5,2,2,0,2,0,0,0,2,6.5,4,3.25
45.14,2,69.31,2,1,3.1,2,0,2,2,1,1,0,5,4.9,5,0.98
71.63,2,65.76,2,0,2.8,2,1,2,0,1,1,0,5,5.2,1,1.04
72.84,2,54.2,1,1,7.6,2,0,0,2,1,0,0,2,4.659999999999999,5,2.33
100.0,0,67.05,1,2,6.6,0,0,2,1,0,1,0,3,6.239999999999998,2,2.08
69.31,2,85.47,1,2,5.3,2,0,0,1,0,1,0,5,8.45,2,1.69
76.22,2,74.44,1,2,2.3,1,0,0,0,0,0,0,1,0.7899999999999999,0,0.7899999999999999
71.51,2,86.63,2,0,8.0,1,3,2,2,0,0,0,1,3.0,4,3.0
55.64,1,68.8,1,0,4.4,1,2,2,2,0,1,0,4,6.880000000000001,4,1.7200000000000002
88.0,2,82.07,1,1,3.6,2,1,1,0,0,1,0,5,6.65,0,1.33
82.53,0,67.83,2,2,6.8,0,2,1,1,0,0,1,0,0.0,2,2.54
83.07,2,65.34,2,1,4.5,0,2,0,2,0,0,1,0,0.0,4,1.8
59.27,0,73.93,2,0,2.2,2,2,2,0,0,0,0,2,2.12,0,1.06
91.64,1,68.35,1,1,4.6,2,2,0,0,0,1,0,5,9.15,0,1.83
52.37,1,59.57,1,1,2.9,2,2,1,0,1,1,0,5,6.6000000000000005,1,1.32
80.22,2,73.18,2,2,0.0,1,1,0,0,0,0,0,1,0.3,0,0.3
100.0,0,76.06,2,1,2.7,2,2,2,2,1,0,0,2,2.52,5,1.26
58.13,2,87.68,2,2,3.4,2,2,2,0,1,1,0,5,7.6,1,1.52
64.07,2,84.37,2,0,2.2,0,2,1,2,1,1,0,3,3.18,5,1.06
73.4,0,87.2,1,2,5.7,0,3,0,1,1,0,1,0,0.0,3,2.41
64.95,0,82.2,2,1,2.9,1,0,0,0,1,1,0,4,3.68,1,0.92
50.29,0,78.33,1,0,5.5,1,3,2,0,1,1,0,4,9.0,1,2.25
72.96,0,62.71,2,0,2.0,1,2,1,1,0,1,0,4,4.0,2,1.0
57.13,0,76.5,2,0,6.3,1,3,2,0,1,0,0,1,2.49,1,2.49
78.63,1,80.97,1,0,1.9,2,1,2,2,1,0,1,2,1.54,5,0.77
59.13,1,89.57,2,0,0.0,2,1,1,1,0,1,0,5,1.0,2,0.2
93.7,1,81.86,2,1,7.0,1,1,2,1,1,0,0,1,2.35,3,2.35
61.03,0,87.4,2,0,2.8,1,0,0,2,1,0,0,1,0.84,5,0.84
67.49,0,64.68,1,0,8.0,0,1,0,2,0,0,1,0,0.0,4,2.6
83.39,0,71.74,1,0,5.6,0,0,0,1,1,1,0,3,5.04,3,1.68
54.77,2,79.29,2,0,6.1,0,1,2,0,0,0,1,0,0.0,0,2.03
75.18,1,86.61,2,1,6.6,1,3,1,2,0,0,0,1,2.63,4,2.63
90.3,1,73.55,1,0,4.7,0,3,1,2,1,1,0,3,6.029999999999999,5,2.01
49.5,2,74.18,1,2,4.7,1,3,1,2,1,1,0,4,8.44,5,2.11
74.58,2,81.87,1,0,7.1,2,3,1,1,1,0,0,2,5.46,3,2.73
75.64,1,63.74,2,0,4.7,1,0,1,0,1,0,0,1,1.41,1,1.41
82.95,0,91.07,2,2,3.0,2,1,2,2,0,0,0,2,2.4,4,1.2
54.68,1,66.21,2,2,5.7,2,2,1,1,0,1,0,5,11.05,2,2.21
53.51,0,55.81,2,0,0.3,1,3,0,1,0,0,0,1,0.6900000000000001,2,0.6900000000000001
79.31,1,75.1,1,2,7.1,0,1,2,0,1,1,0,3,7.290000000000001,1,2.43
76.16,1,91.98,1,2,7.2,1,1,0,1,1,1,0,4,9.840000000000002,3,2.4600000000000004
75.51,2,80.86,1,0,6.9,0,1,1,1,1,1,0,3,6.8100000000000005,3,2.27
76.85,2,82.51,2,0,6.8,2,2,1,2,1,0,0,2,4.88,5,2.44
62.48,0,75.41,1,1,4.3,2,3,0,2,1,0,0,2,3.88,5,1.94
75.25,0,73.48,2,2,4.3,2,0,0,2,0,0,0,2,2.78,4,1.39
76.1,1,59.55,1,0,2.0,2,0,2,1,0,1,0,5,3.0,2,0.6
62.0,2,52.41,2,0,8.0,1,2,1,0,0,1,0,4,11.2,0,2.8
98.12,0,76.96,2,0,3.5,2,2,1,0,0,0,0,2,2.9000000000000004,0,1.4500000000000002
78.63,0,88.13,1,0,5.2,0,0,1,0,0,0,1,0,0.0,0,1.56
55.32,0,78.44,1,2,5.0,0,0,0,1,1,1,0,3,4.800000000000001,3,1.6
81.19,1,81.24,1,1,1.8,2,3,1,2,0,0,1,2,2.3800000000000003,4,1.1900000000000002
58.35,0,90.84,1,0,1.0,1,0,2,1,0,0,0,1,0.3,2,0.3
83.02,0,78.29,1,1,4.5,2,0,2,2,0,1,0,5,7.0,4,1.4
88.22,2,73.77,1,0,3.6,2,0,0,1,1,1,0,5,5.4,3,1.08
60.51,2,66.81,2,0,4.3,0,2,0,1,1,0,1,0,0.0,3,1.69
85.49,2,95.22,1,2,6.6,1,0,2,0,0,1,0,4,8.319999999999999,0,2.08
77.78,1,80.27,2,0,4.9,1,0,0,1,1,1,0,4,5.88,3,1.47
83.51,2,65.56,2,2,6.0,0,3,0,0,1,0,1,0,0.0,1,2.5
98.56,2,63.29,2,0,5.4,0,1,1,1,0,1,0,3,5.46,2,1.82
68.56,2,87.53,1,1,3.9,0,2,2,0,1,0,1,0,0.0,1,1.62
61.45,2,64.63,1,1,2.5,1,2,1,1,1,1,0,4,4.8,3,1.2
59.55,0,93.54,1,1,5.0,0,3,2,1,1,0,1,0,0.0,3,2.15
60.58,1,50.0,1,0,4.7,0,0,1,2,0,1,0,3,4.23,4,1.41
70.92,0,89.23,1,0,6.3,0,1,2,2,0,1,0,3,6.27,4,2.09
76.78,0,79.87,1,0,4.2,2,3,2,2,0,1,0,5,9.3,4,1.86
75.87,1,76.19,2,1,3.9,1,1,2,1,1,0,0,1,1.42,3,1.42
83.58,0,73.25,2,0,4.0,1,0,0,2,0,1,0,4,4.8,4,1.2
72.18,2,93.91,2,2,2.7,2,1,1,2,1,1,0,5,5.550000000000001,5,1.11
92.35,1,82.07,2,0,7.4,1,3,0,1,1,1,0,4,11.28,3,2.8200000000000003
68.29,0,65.97,2,1,6.8,0,0,0,1,0,1,0,3,6.27,2,2.09
100.0,0,57.81,1,0,2.1,2,2,2,2,0,0,0,2,2.06,4,1.03
80.76,2,76.77,1,1,6.1,0,1,2,2,1,1,0,3,6.239999999999998,5,2.08
60.0,0,74.99,2,1,0.8,0,0,0,1,1,1,0,3,0.8699999999999999,3,0.29
57.01,0,59.8,2,0,6.5,0,0,0,1,0,1,0,3,5.85,2,1.95
78.75,0,74.45,2,0,3.1,0,3,0,0,0,1,0,3,4.59,0,1.53
68.87,1,69.26,1,0,5.2,1,0,2,0,1,0,0,1,1.56,1,1.56
82.0,1,75.09,1,0,0.6,2,3,2,1,1,1,0,5,3.9,3,0.78
78.63,0,82.26,1,0,2.1,2,2,2,1,0,0,0,2,2.06,2,1.03
70.98,0,89.93,1,0,5.4,0,1,1,2,1,0,1,0,0.0,5,1.82
60.14,2,84.09,1,2,3.1,2,2,0,0,1,0,0,2,2.8600000000000003,1,1.4300000000000002
50.79,1,67.79,1,2,2.8,2,3,0,2,1,1,0,5,7.7,5,1.54
65.75,1,78.69,1,2,7.3,0,2,1,0,1,0,1,0,0.0,1,2.69
83.99,1,75.63,2,0,8.9,0,1,0,2,0,1,0,3,8.61,4,2.87
75.0,0,61.68,2,0,6.4,1,2,0,0,0,0,0,1,2.32,0,2.32
54.56,2,78.98,1,1,2.3,1,0,0,1,0,1,0,4,2.96,2,0.74
74.42,2,93.57,2,0,8.0,0,1,1,1,1,1,0,3,7.800000000000001,3,2.6
77.39,0,75.32,1,0,1.4,1,2,1,1,1,1,0,4,3.28,3,0.8200000000000001
59.63,0,59.06,2,1,3.9,1,1,0,2,0,0,0,1,1.42,4,1.42
74.15,2,75.3,1,0,4.6,2,2,2,0,1,1,0,5,8.899999999999999,1,1.7799999999999998
72.81,2,62.86,1,1,8.3,0,0,0,2,1,0,1,0,0.0,5,2.54
56.0,1,83.64,2,0,6.3,2,3,0,1,1,1,0,5,12.45,3,2.49
77.01,0,80.25,1,2,3.6,2,2,2,0,0,1,0,5,7.9,0,1.58
79.85,1,73.29,2,0,2.6,0,1,0,0,1,1,0,3,2.94,1,0.98
87.16,2,71.69,1,1,6.5,2,2,0,2,1,0,0,2,4.8,5,2.4
86.75,1,72.88,2,2,3.4,1,3,1,1,0,0,0,1,1.7200000000000002,2,1.7200000000000002
52.71,2,75.08,1,0,4.9,1,0,0,2,0,1,0,4,5.88,4,1.47
58.87,2,67.28,2,0,1.8,1,0,2,2,0,1,1,4,2.16,4,0.54
79.21,1,61.12,1,2,5.6,1,3,1,1,1,1,0,4,9.52,3,2.3800000000000003
79.19,0,86.39,2,0,5.5,1,0,1,1,0,1,0,4,6.6,2,1.65
79.21,1,71.15,2,2,2.0,2,2,2,2,1,1,0,5,5.5,5,1.1
100.0,1,76.67,2,0,6.6,0,1,2,0,0,1,0,3,6.539999999999999,0,2.18
79.99,0,77.85,2,1,5.6,2,2,1,1,0,0,0,2,4.26,2,2.13
87.9,0,78.22,1,0,6.0,2,3,0,1,0,1,0,5,12.0,2,2.4
85.36,1,63.26,2,1,3.7,1,2,0,1,0,0,0,1,1.5600000000000005,2,1.5600000000000005
81.12,2,58.24,1,1,4.9,1,2,1,1,1,0,0,1,1.92,3,1.92
67.59,1,69.11,1,1,4.6,2,3,0,0,1,1,0,5,10.15,1,2.03
82.63,2,78.96,1,1,4.2,2,1,1,0,1,1,0,5,7.55,1,1.51
61.18,0,67.72,1,0,4.8,0,0,2,2,0,0,1,0,0.0,4,1.44
68.68,0,71.45,1,1,7.0,0,3,0,2,1,0,1,0,0.0,5,2.75
65.2,2,96.27,1,0,6.6,0,0,0,1,0,0,1,0,0.0,2,1.98
73.15,1,56.55,1,0,2.1,0,0,1,2,0,1,0,3,1.89,4,0.63
100.0,0,67.45,1,1,6.5,0,3,1,0,1,1,0,3,7.799999999999999,1,2.6
45.86,2,93.97,2,0,6.9,1,1,0,1,0,0,0,1,2.27,2,2.27
81.61,2,74.55,2,0,4.2,0,3,0,1,0,0,1,0,0.0,2,1.86
49.42,1,67.94,1,2,5.5,2,3,0,1,0,1,0,5,11.75,2,2.35
65.39,2,86.69,2,0,5.5,1,2,2,2,0,0,0,1,2.05,4,2.05
87.25,2,75.55,2,0,2.8,2,2,0,1,0,1,0,5,6.2,2,1.24
72.9,1,71.52,1,0,3.7,1,3,0,1,1,1,0,4,6.840000000000001,3,1.7100000000000002
56.91,0,76.92,2,0,6.0,1,2,1,0,1,0,0,1,2.2,1,2.2
61.99,0,68.42,2,0,3.5,0,1,2,1,0,1,0,3,3.75,2,1.25
81.51,0,64.83,2,2,6.5,2,2,1,2,0,1,0,5,12.25,4,2.45
61.77,2,73.86,1,1,7.1,0,1,0,1,1,0,1,0,0.0,3,2.38
75.03,2,64.89,1,1,6.8,2,0,2,2,0,1,0,5,10.45,4,2.09
72.64,1,75.11,2,1,8.5,2,0,0,0,1,1,0,5,12.999999999999998,1,2.6
62.88,2,78.54,1,2,4.3,0,1,2,0,1,0,1,0,0.0,1,1.59
100.0,2,83.53,1,0,4.9,0,0,2,1,0,1,0,3,4.41,2,1.47
80.87,0,86.28,2,2,5.1,1,1,2,0,0,1,0,4,7.319999999999999,0,1.83
43.65,2,70.94,2,0,4.4,1,3,2,1,0,1,0,4,7.680000000000001,2,1.92
74.61,2,79.99,2,0,5.6,1,2,2,0,1,0,0,1,2.08,1,2.08
62.73,2,79.93,2,1,1.1,2,0,2,0,1,1,0,5,1.9,1,0.38
83.93,1,78.28,1,0,4.9,0,0,1,2,0,0,1,0,0.0,4,1.47
60.9,2,70.21,1,0,1.7,1,3,1,2,0,1,1,4,4.44,4,1.11
70.39,1,64.72,1,1,2.6,0,2,0,1,1,0,1,0,0.0,3,1.2300000000000002
79.07,0,80.02,1,0,6.0,1,2,2,1,1,0,0,1,2.2,3,2.2
84.12,2,57.93,1,2,4.1,1,1,2,2,1,1,0,4,6.119999999999999,5,1.5299999999999998
55.2,1,72.32,1,1,5.9,0,0,1,0,1,0,1,0,0.0,1,1.82
67.32,0,50.0,1,1,4.1,1,2,0,1,0,1,0,4,6.72,2,1.68
65.35,2,61.64,1,2,6.7,0,0,0,0,1,1,0,3,6.33,1,2.11
62.85,1,66.23,1,0,4.0,1,0,1,2,0,0,0,1,1.2,4,1.2
96.72,1,85.97,2,1,0.6,0,0,1,0,1,1,0,3,0.69,1,0.2299999999999999
77.67,0,81.88,1,1,5.0,1,0,2,0,1,0,0,1,1.55,1,1.55
54.35,2,69.46,1,0,0.2,1,1,1,1,1,1,0,4,1.04,3,0.26
84.85,2,82.29,1,2,1.6,2,2,2,0,1,0,0,2,1.96,1,0.98
100.0,2,83.88,2,2,2.7,0,0,0,2,0,0,1,0,0.0,4,0.91
86.45,1,73.39,2,0,2.5,1,2,2,0,0,1,0,4,4.6,0,1.15
50.73,2,61.16,1,0,3.4,2,3,1,2,0,1,0,5,8.100000000000001,4,1.62
65.22,1,72.92,1,2,2.4,0,3,2,2,1,1,0,3,4.260000000000001,5,1.4200000000000002
89.74,1,74.02,2,0,1.7,1,2,2,1,0,1,0,4,3.64,2,0.91
62.09,0,62.68,1,0,7.6,1,1,1,2,0,0,0,1,2.48,4,2.48
78.21,1,78.67,2,0,3.1,1,1,2,2,0,1,0,4,4.52,4,1.13
82.84,0,77.8,1,1,0.0,0,3,0,1,0,0,1,0,0.0,2,0.6500000000000001
59.02,0,79.45,2,0,3.8,2,0,2,1,1,0,0,2,2.28,3,1.14
71.17,2,77.79,2,0,2.3,1,3,1,1,1,1,0,4,5.16,3,1.29
26.62,0,82.3,1,0,2.7,2,0,1,2,1,1,0,5,4.050000000000001,5,0.81
57.66,2,73.21,2,2,5.9,0,3,1,1,1,0,1,0,0.0,3,2.47
68.46,0,77.02,2,0,3.6,0,3,2,2,0,0,1,0,0.0,4,1.6800000000000002
54.53,1,71.02,2,1,2.2,1,1,0,2,1,1,0,4,3.640000000000001,5,0.91
94.85,2,69.16,1,0,5.4,1,2,1,2,1,1,0,4,8.08,5,2.02
51.98,1,88.38,1,1,6.8,1,2,1,1,1,0,0,1,2.49,3,2.49
65.84,2,54.56,2,2,5.6,2,3,0,2,0,1,0,5,11.900000000000002,4,2.3800000000000003
73.83,1,83.77,2,0,0.0,2,1,1,2,1,0,1,2,0.4,5,0.2
92.18,0,68.79,1,1,2.3,1,0,2,1,1,0,0,1,0.74,3,0.74
51.9,2,67.5,1,1,4.6,0,3,1,1,1,0,1,0,0.0,3,2.03
88.28,2,77.62,1,1,4.0,0,0,1,2,1,1,0,3,3.75,5,1.25
72.14,2,60.1,2,2,3.8,1,0,2,2,0,0,0,1,1.24,4,1.24
58.26,0,66.84,1,1,2.5,2,1,0,2,0,1,0,5,5.0,4,1.0
78.47,1,66.51,1,0,1.7,0,1,0,1,0,1,0,3,2.13,2,0.71
74.79,0,72.79,1,2,8.5,2,2,1,1,1,0,0,2,6.1,3,3.05
63.6,0,66.96,1,1,4.6,1,1,2,0,1,0,0,1,1.63,1,1.63
72.98,0,91.01,2,2,5.8,2,3,2,1,0,1,0,5,12.2,2,2.44
66.61,1,92.97,2,2,4.5,2,3,0,2,1,1,0,5,10.25,5,2.05
73.59,0,54.78,1,0,4.6,2,0,0,1,0,1,0,5,6.9,2,1.38
81.27,2,80.44,2,1,4.4,0,2,0,1,0,1,0,3,5.3100000000000005,2,1.7700000000000002
94.2,0,83.59,1,2,2.3,2,0,2,0,1,0,0,2,1.5799999999999998,1,0.7899999999999999
54.67,1,80.43,2,2,1.5,2,0,2,0,0,1,0,5,2.75,0,0.5499999999999999
100.0,2,68.42,1,1,5.3,2,2,2,2,0,1,0,5,10.199999999999998,4,2.04
44.67,1,72.56,1,0,4.9,1,0,1,0,1,1,0,4,5.88,1,1.47
69.88,0,67.52,2,0,6.4,2,2,1,2,1,0,0,2,4.64,5,2.32
80.24,1,70.8,1,1,6.0,2,0,0,2,1,1,0,5,9.25,5,1.85
75.93,2,62.9,1,0,2.9,0,0,0,2,0,1,0,3,2.61,4,0.87
63.28,1,73.85,2,1,6.8,1,2,1,2,1,1,0,4,9.96,5,2.49
69.09,2,59.97,1,1,6.0,2,3,1,0,1,1,0,5,12.249999999999998,1,2.45
65.1,2,73.0,2,2,5.9,0,0,1,2,1,1,0,3,5.61,5,1.87
63.75,0,62.51,1,1,9.0,0,0,1,2,1,0,1,0,0.0,5,2.75
83.89,0,77.07,1,0,8.6,2,3,0,1,1,1,0,5,15.9,3,3.18
77.0,2,68.21,2,0,5.9,0,2,1,2,1,0,1,0,0.0,5,2.17
62.3,1,77.91,2,1,5.6,0,2,1,1,1,0,1,0,0.0,3,2.13
84.59,2,85.82,1,2,6.7,0,3,2,0,1,1,0,3,8.129999999999999,1,2.71
76.3,0,90.89,1,2,3.3,0,2,0,1,1,1,0,3,4.47,3,1.49
83.38,1,50.0,2,0,3.4,2,1,0,0,1,0,0,2,2.44,1,1.22
80.81,2,66.66,2,1,5.8,2,0,2,0,0,0,0,2,3.58,0,1.79
60.39,0,71.97,1,0,2.8,0,2,0,1,0,0,1,0,0.0,2,1.24
64.16,2,79.6,1,2,5.7,2,3,0,0,0,0,0,2,4.82,0,2.41
