jee_main_score,jee_advanced_score,mock_test_score_avg,school_board,class_12_percent,attempt_count,coaching_institute,daily_study_hours,family_income,parent_education,location_type,peer_pressure_level,mental_health_issues,admission_taken,dropout
77.26,58.96,64.94,2,74.55,1,2,1.2,0,3,0,2,1,0,1
63.59,86.61,47.54,2,50.0,2,0,5.2,0,2,0,0,1,1,0
67.92,66.23,67.0,1,73.37,2,0,5.0,2,0,1,0,0,0,0
63.58,46.22,77.88,1,75.63,1,1,0.5,1,3,1,0,0,0,0
97.93,86.07,79.35,0,77.42,1,2,2.7,2,0,0,2,0,0,0
71.81,77.7,74.05,2,59.36,1,2,0.8,2,0,2,0,1,1,0
57.19,74.61,61.5,0,77.25,2,2,3.0,0,3,0,1,0,1,0
83.52,77.45,44.28,1,64.59,2,1,5.6,2,2,0,2,0,0,0
54.91,100.0,62.06,0,66.88,1,1,4.9,1,1,1,2,0,1,0
74.92,100.0,64.35,0,82.18,1,0,4.8,2,3,0,2,0,1,0
44.56,55.01,64.24,0,95.14,2,1,2.4,0,2,1,0,1,0,1
53.41,91.98,75.42,2,75.51,1,2,6.7,1,3,2,0,0,1,0
74.76,72.13,91.83,1,66.83,1,2,4.5,1,2,0,1,1,1,0
82.34,73.99,69.48,2,76.89,1,0,4.6,0,1,2,0,1,1,0
74.4,38.92,65.4,0,84.39,1,1,6.4,0,1,2,0,0,0,1
70.38,63.27,64.89,2,81.21,2,2,2.5,2,0,0,0,0,1,0
67.78,52.99,69.49,1,100.0,2,2,5.0,0,0,1,0,0,1,0
51.3,79.25,58.06,1,67.85,2,0,5.3,0,1,1,1,1,1,0
61.92,83.14,69.44,0,77.52,1,1,3.4,0,3,0,1,1,1,0
65.55,32.81,73.41,0,90.49,2,2,5.8,0,1,1,1,1,0,1
86.8,65.65,70.52,2,89.86,2,0,5.5,1,2,1,0,0,0,0
76.81,83.95,73.49,1,55.5,1,0,4.3,1,2,2,0,0,1,0
47.32,63.01,73.2,1,74.97,1,0,4.2,1,2,1,2,1,0,0
76.54,77.67,46.74,2,89.85,2,0,5.5,0,1,1,2,1,1,0
66.61,71.62,75.64,1,100.0,1,1,6.1,2,0,0,0,0,0,0
62.52,71.47,59.95,0,82.04,1,2,4.6,2,2,2,2,0,1,0
80.56,61.66,54.85,0,71.32,2,1,6.7,2,2,1,1,1,0,0
86.43,46.53,54.75,2,64.91,2,0,5.8,2,1,0,1,1,1,0
85.04,48.06,73.2,2,97.19,2,2,0.9,1,2,1,1,1,1,0
60.25,77.35,65.33,2,82.29,1,2,1.7,2,1,2,2,0,1,1
67.67,66.31,47.82,0,66.52,1,2,6.9,1,0,2,1,0,0,0
76.64,63.78,73.74,2,72.97,1,1,4.0,2,2,2,1,1,0,0
85.66,59.22,50.72,1,78.1,1,1,4.8,2,2,2,1,0,1,0
65.29,61.12,69.68,2,80.44,1,0,6.8,1,2,2,0,1,1,0
69.4,82.75,70.86,1,66.0,1,0,4.5,1,1,2,0,1,1,0
56.51,60.64,78.63,0,68.86,2,0,4.6,2,1,0,1,1,0,0
55.25,44.54,89.38,1,58.47,2,2,2.8,0,3,2,1,1,1,0
83.38,77.9,51.62,1,85.4,1,0,5.2,2,0,1,0,1,0,0
90.99,62.72,67.37,1,71.58,2,0,5.7,2,3,1,0,1,0,0
70.99,66.5,64.68,0,79.66,2,0,3.3,2,3,1,2,1,1,0
86.05,91.72,73.2,1,89.22,2,0,2.7,1,3,1,0,0,1,0
77.06,65.67,70.59,1,77.2,1,0,9.8,2,1,2,1,1,1,0
62.97,70.63,63.77,2,73.87,2,2,4.3,0,2,2,0,0,0,1
77.06,47.14,62.71,2,76.94,2,0,3.1,2,2,0,1,1,1,0
93.53,62.49,54.6,2,75.63,1,1,5.9,0,1,2,2,1,1,0
71.5,75.75,79.85,1,87.46,1,0,4.4,0,3,1,0,1,0,1
93.91,41.11,73.51,1,78.11,1,0,2.3,0,0,0,2,1,0,1
35.32,69.21,79.01,0,69.56,2,1,5.5,2,1,0,1,1,1,0
83.51,67.61,64.28,1,85.48,2,1,2.8,1,3,0,1,1,1,0
73.22,66.66,60.12,1,87.3,2,2,7.7,1,1,0,1,0,0,0
67.81,82.59,55.06,0,61.62,1,0,5.5,2,2,2,1,1,0,0
73.28,71.35,72.31,1,90.33,1,1,3.9,2,2,0,2,1,1,0
44.17,89.65,55.52,0,78.65,1,2,4.7,0,2,2,0,0,0,1
68.92,50.1,90.18,0,77.83,2,0,6.3,2,3,0,0,0,0,0
77.0,68.17,52.31,2,85.07,2,0,4.9,1,1,2,1,0,1,0
92.69,67.35,71.28,1,69.33,2,1,8.7,2,3,2,1,1,1,0
64.74,48.89,86.8,2,84.54,1,0,6.8,2,1,1,2,1,0,0
60.68,81.3,75.19,1,71.23,1,0,5.5,2,0,2,2,0,1,0
64.98,100.0,70.11,2,60.25,2,1,2.6,0,2,0,1,0,0,1
84.82,65.73,56.38,0,65.02,2,0,4.2,2,0,0,1,1,0,0
76.6,74.08,51.42,0,80.67,2,0,5.5,2,2,2,0,0,0,0
64.58,67.35,77.24,0,65.55,1,2,2.9,2,0,2,0,1,0,0
79.19,54.58,86.07,0,91.1,2,2,7.1,1,3,2,0,0,0,0
73.36,36.87,62.73,1,86.89,1,1,2.6,0,2,2,1,1,1,0
85.56,54.71,54.33,1,88.33,2,2,3.2,0,3,1,2,1,1,0
62.17,43.73,38.5,2,76.25,2,1,3.4,1,3,1,2,0,0,0
67.41,93.27,56.23,1,77.58,2,0,6.0,0,1,1,2,1,0,1
66.51,64.16,66.64,1,63.06,2,0,2.9,1,2,1,1,0,1,0
51.51,60.47,87.19,2,84.96,2,0,0.9,0,0,1,1,1,1,0
76.15,80.23,76.08,0,78.8,2,1,6.7,0,0,2,2,0,1,0
75.65,48.05,71.66,2,80.67,2,0,3.6,0,2,1,2,0,1,0
72.07,53.73,63.2,2,91.88,2,0,2.4,2,1,1,2,0,0,0
68.72,67.09,61.0,0,68.94,2,0,3.0,0,2,2,1,0,0,1
52.18,82.46,84.87,2,73.74,2,0,7.9,2,3,2,0,0,1,0
66.11,74.03,70.41,2,78.27,1,0,3.2,2,1,0,0,1,0,0
67.2,69.97,42.77,2,65.65,1,0,4.3,2,3,0,1,0,0,0
60.77,67.25,59.92,1,73.12,2,0,3.6,1,2,0,0,1,1,0
69.74,72.4,57.7,0,79.93,2,0,2.0,0,1,1,2,1,0,1
77.66,69.23,61.44,0,71.75,1,1,3.0,0,2,2,0,0,0,1
98.41,49.52,74.75,2,88.09,1,0,1.9,0,2,0,2,1,0,1
74.44,66.74,66.71,1,59.89,1,0,6.4,2,1,0,1,1,1,0
75.61,48.82,67.08,0,86.23,2,0,4.7,0,1,1,1,1,1,0
70.96,67.3,83.76,0,81.61,2,0,9.5,2,2,0,2,0,0,0
45.14,58.31,59.64,2,69.31,2,1,3.1,2,0,2,2,1,1,0
71.63,100.0,90.37,2,65.76,2,0,2.8,2,1,2,0,1,1,0
72.84,65.36,59.94,2,54.2,1,1,7.6,2,0,0,2,1,0,0
100.0,43.53,69.07,0,67.05,1,2,6.6,0,0,2,1,0,1,0
69.31,63.85,64.63,2,85.47,1,2,5.3,2,0,0,1,0,1,0
76.22,74.31,69.48,2,74.44,1,2,2.3,1,0,0,0,0,0,0
71.51,92.77,73.34,2,86.63,2,0,8.0,1,3,2,2,0,0,0
55.64,56.57,73.21,1,68.8,1,0,4.4,1,2,2,2,0,1,0
88.0,40.68,58.96,2,82.07,1,1,3.6,2,1,1,0,0,1,0
82.53,79.07,54.53,0,67.83,2,2,6.8,0,2,1,1,0,0,1
83.07,43.91,98.04,2,65.34,2,1,4.5,0,2,0,2,0,0,1
59.27,59.02,62.19,0,73.93,2,0,2.2,2,2,2,0,0,0,0
91.64,61.88,76.39,1,68.35,1,1,4.6,2,2,0,0,0,1,0
52.37,64.89,48.71,1,59.57,1,1,2.9,2,2,1,0,1,1,0
80.22,77.03,64.64,2,73.18,2,2,0.0,1,1,0,0,0,0,0
100.0,55.06,66.47,0,76.06,2,1,2.7,2,2,2,2,1,0,0
58.13,61.62,73.67,2,87.68,2,2,3.4,2,2,2,0,1,1,0
64.07,65.77,35.33,2,84.37,2,0,2.2,0,2,1,2,1,1,0
73.4,68.39,69.99,0,87.2,1,2,5.7,0,3,0,1,1,0,1
64.95,67.57,54.2,0,82.2,2,1,2.9,1,0,0,0,1,1,0
50.29,72.98,71.89,0,78.33,1,0,5.5,1,3,2,0,1,1,0
72.96,79.5,55.56,0,62.71,2,0,2.0,1,2,1,1,0,1,0
57.13,72.28,57.73,0,76.5,2,0,6.3,1,3,2,0,1,0,0
78.63,73.26,64.72,1,80.97,1,0,1.9,2,1,2,2,1,0,1
59.13,40.68,55.37,1,89.57,2,0,0.0,2,1,1,1,0,1,0
93.7,66.8,62.29,1,81.86,2,1,7.0,1,1,2,1,1,0,0
61.03,73.67,53.68,0,87.4,2,0,2.8,1,0,0,2,1,0,0
67.49,77.66,46.0,0,64.68,1,0,8.0,0,1,0,2,0,0,1
83.39,54.92,80.22,0,71.74,1,0,5.6,0,0,0,1,1,1,0
54.77,55.46,52.45,2,79.29,2,0,6.1,0,1,2,0,0,0,1
75.18,56.81,65.86,1,86.61,2,1,6.6,1,3,1,2,0,0,0
90.3,74.58,77.03,1,73.55,1,0,4.7,0,3,1,2,1,1,0
49.5,82.54,60.62,2,74.18,1,2,4.7,1,3,1,2,1,1,0
74.58,59.48,58.1,2,81.87,1,0,7.1,2,3,1,1,1,0,0
75.64,80.53,70.71,1,63.74,2,0,4.7,1,0,1,0,1,0,0
82.95,67.98,81.42,0,91.07,2,2,3.0,2,1,2,2,0,0,0
54.68,64.01,53.97,1,66.21,2,2,5.7,2,2,1,1,0,1,0
53.51,62.62,66.2,0,55.81,2,0,0.3,1,3,0,1,0,0,0
79.31,77.95,47.21,1,75.1,1,2,7.1,0,1,2,0,1,1,0
76.16,71.21,63.28,1,91.98,1,2,7.2,1,1,0,1,1,1,0
75.51,100.0,68.41,2,80.86,1,0,6.9,0,1,1,1,1,1,0
76.85,52.36,57.74,2,82.51,2,0,6.8,2,2,1,2,1,0,0
62.48,74.29,62.52,0,75.41,1,1,4.3,2,3,0,2,1,0,0
75.25,57.53,51.1,0,73.48,2,2,4.3,2,0,0,2,0,0,0
76.1,52.09,68.92,1,59.55,1,0,2.0,2,0,2,1,0,1,0
62.0,65.83,80.67,2,52.41,2,0,8.0,1,2,1,0,0,1,0
98.12,68.2,54.83,0,76.96,2,0,3.5,2,2,1,0,0,0,0
78.63,100.0,60.53,0,88.13,1,0,5.2,0,0,1,0,0,0,1
55.32,63.05,74.03,0,78.44,1,2,5.0,0,0,0,1,1,1,0
81.19,47.92,82.55,1,81.24,1,1,1.8,2,3,1,2,0,0,1
58.35,70.37,50.08,0,90.84,1,0,1.0,1,0,2,1,0,0,0
83.02,32.81,65.97,0,78.29,1,1,4.5,2,0,2,2,0,1,0
88.22,64.53,71.4,2,73.77,1,0,3.6,2,0,0,1,1,1,0
60.51,66.26,66.78,2,66.81,2,0,4.3,0,2,0,1,1,0,1
85.49,78.71,38.28,2,95.22,1,2,6.6,1,0,2,0,0,1,0
77.78,81.58,74.01,1,80.27,2,0,4.9,1,0,0,1,1,1,0
83.51,57.94,86.23,2,65.56,2,2,6.0,0,3,0,0,1,0,1
98.56,63.59,69.4,2,63.29,2,0,5.4,0,1,1,1,0,1,0
68.56,53.74,55.63,2,87.53,1,1,3.9,0,2,2,0,1,0,1
61.45,47.95,61.84,2,64.63,1,1,2.5,1,2,1,1,1,1,0
59.55,70.96,89.24,0,93.54,1,1,5.0,0,3,2,1,1,0,1
60.58,45.62,78.92,1,50.0,1,0,4.7,0,0,1,2,0,1,0
70.92,59.37,75.68,0,89.23,1,0,6.3,0,1,2,2,0,1,0
76.78,50.08,72.28,0,79.87,1,0,4.2,2,3,2,2,0,1,0
75.87,74.79,60.07,1,76.19,2,1,3.9,1,1,2,1,1,0,0
83.58,94.82,65.59,0,73.25,2,0,4.0,1,0,0,2,0,1,0
72.18,45.17,67.06,2,93.91,2,2,2.7,2,1,1,2,1,1,0
92.35,36.35,74.59,1,82.07,2,0,7.4,1,3,0,1,1,1,0
68.29,64.0,86.11,0,65.97,2,1,6.8,0,0,0,1,0,1,0
100.0,66.25,81.42,0,57.81,1,0,2.1,2,2,2,2,0,0,0
80.76,69.5,50.97,2,76.77,1,1,6.1,0,1,2,2,1,1,0
60.0,58.86,70.69,0,74.99,2,1,0.8,0,0,0,1,1,1,0
57.01,62.79,76.84,0,59.8,2,0,6.5,0,0,0,1,0,1,0
78.75,71.88,75.43,0,74.45,2,0,3.1,0,3,0,0,0,1,0
68.87,82.65,60.45,1,69.26,1,0,5.2,1,0,2,0,1,0,0
82.0,34.72,100.0,1,75.09,1,0,0.6,2,3,2,1,1,1,0
78.63,60.1,52.67,0,82.26,1,0,2.1,2,2,2,1,0,0,0
70.98,69.42,55.0,0,89.93,1,0,5.4,0,1,1,2,1,0,1
60.14,51.31,70.8,2,84.09,1,2,3.1,2,2,0,0,1,0,0
50.79,93.7,93.4,1,67.79,1,2,2.8,2,3,0,2,1,1,0
65.75,55.83,57.97,1,78.69,1,2,7.3,0,2,1,0,1,0,1
83.99,65.34,64.81,1,75.63,2,0,8.9,0,1,0,2,0,1,0
75.0,74.9,80.93,0,61.68,2,0,6.4,1,2,0,0,0,0,0
54.56,56.54,67.79,2,78.98,1,1,2.3,1,0,0,1,0,1,0
74.42,36.45,63.98,2,93.57,2,0,8.0,0,1,1,1,1,1,0
77.39,59.14,74.79,0,75.32,1,0,1.4,1,2,1,1,1,1,0
59.63,82.47,71.27,0,59.06,2,1,3.9,1,1,0,2,0,0,0
74.15,60.61,80.37,2,75.3,1,0,4.6,2,2,2,0,1,1,0
72.81,52.46,83.5,2,62.86,1,1,8.3,0,0,0,2,1,0,1
56.0,80.81,71.68,1,83.64,2,0,6.3,2,3,0,1,1,1,0
77.01,60.71,71.5,0,80.25,1,2,3.6,2,2,2,0,0,1,0
79.85,57.84,70.57,1,73.29,2,0,2.6,0,1,0,0,1,1,0
87.16,68.39,73.87,2,71.69,1,1,6.5,2,2,0,2,1,0,0
86.75,78.33,68.66,1,72.88,2,2,3.4,1,3,1,1,0,0,0
52.71,100.0,67.99,2,75.08,1,0,4.9,1,0,0,2,0,1,0
58.87,79.24,82.36,2,67.28,2,0,1.8,1,0,2,2,0,1,1
79.21,84.56,86.19,1,61.12,1,2,5.6,1,3,1,1,1,1,0
79.19,57.9,49.91,0,86.39,2,0,5.5,1,0,1,1,0,1,0
79.21,49.59,68.12,1,71.15,2,2,2.0,2,2,2,2,1,1,0
100.0,67.0,59.74,1,76.67,2,0,6.6,0,1,2,0,0,1,0
79.99,67.71,64.27,0,77.85,2,1,5.6,2,2,1,1,0,0,0
87.9,48.74,72.83,0,78.22,1,0,6.0,2,3,0,1,0,1,0
85.36,63.2,76.03,1,63.26,2,1,3.7,1,2,0,1,0,0,0
81.12,72.39,66.65,2,58.24,1,1,4.9,1,2,1,1,1,0,0
67.59,71.77,45.04,1,69.11,1,1,4.6,2,3,0,0,1,1,0
82.63,74.07,56.42,2,78.96,1,1,4.2,2,1,1,0,1,1,0
61.18,70.66,78.76,0,67.72,1,0,4.8,0,0,2,2,0,0,1
68.68,57.89,35.11,0,71.45,1,1,7.0,0,3,0,2,1,0,1
65.2,57.78,82.25,2,96.27,1,0,6.6,0,0,0,1,0,0,1
73.15,46.82,74.25,1,56.55,1,0,2.1,0,0,1,2,0,1,0
100.0,94.56,83.79,0,67.45,1,1,6.5,0,3,1,0,1,1,0
45.86,66.22,65.62,2,93.97,2,0,6.9,1,1,0,1,0,0,0
81.61,62.4,43.26,2,74.55,2,0,4.2,0,3,0,1,0,0,1
49.42,51.14,73.16,1,67.94,1,2,5.5,2,3,0,1,0,1,0
65.39,100.0,83.3,2,86.69,2,0,5.5,1,2,2,2,0,0,0
87.25,48.83,79.1,2,75.55,2,0,2.8,2,2,0,1,0,1,0
72.9,59.14,60.05,1,71.52,1,0,3.7,1,3,0,1,1,1,0
56.91,72.65,69.04,0,76.92,2,0,6.0,1,2,1,0,1,0,0
61.99,75.6,61.61,0,68.42,2,0,3.5,0,1,2,1,0,1,0
81.51,81.33,58.17,0,64.83,2,2,6.5,2,2,1,2,0,1,0
61.77,94.92,79.46,2,73.86,1,1,7.1,0,1,0,1,1,0,1
75.03,74.1,53.63,2,64.89,1,1,6.8,2,0,2,2,0,1,0
72.64,49.1,57.27,1,75.11,2,1,8.5,2,0,0,0,1,1,0
62.88,61.89,54.75,2,78.54,1,2,4.3,0,1,2,0,1,0,1
100.0,70.93,50.12,2,83.53,1,0,4.9,0,0,2,1,0,1,0
80.87,99.09,69.76,0,86.28,2,2,5.1,1,1,2,0,0,1,0
43.65,43.64,81.94,2,70.94,2,0,4.4,1,3,2,1,0,1,0
74.61,85.24,65.78,2,79.99,2,0,5.6,1,2,2,0,1,0,0
62.73,68.88,49.93,2,79.93,2,1,1.1,2,0,2,0,1,1,0
83.93,79.41,78.08,1,78.28,1,0,4.9,0,0,1,2,0,0,1
60.9,64.37,88.23,2,70.21,1,0,1.7,1,3,1,2,0,1,1
70.39,52.52,60.25,1,64.72,1,1,2.6,0,2,0,1,1,0,1
79.07,78.01,62.26,0,80.02,1,0,6.0,1,2,2,1,1,0,0
84.12,76.47,74.19,2,57.93,1,2,4.1,1,1,2,2,1,1,0
55.2,81.55,87.46,1,72.32,1,1,5.9,0,0,1,0,1,0,1
67.32,65.79,61.76,0,50.0,1,1,4.1,1,2,0,1,0,1,0
65.35,56.4,52.01,2,61.64,1,2,6.7,0,0,0,0,1,1,0
62.85,41.06,75.58,1,66.23,1,0,4.0,1,0,1,2,0,0,0
96.72,79.11,77.59,1,85.97,2,1,0.6,0,0,1,0,1,1,0
77.67,72.78,68.07,0,81.88,1,1,5.0,1,0,2,0,1,0,0
54.35,50.55,61.3,2,69.46,1,0,0.2,1,1,1,1,1,1,0
84.85,57.38,79.93,2,82.29,1,2,1.6,2,2,2,0,1,0,0
100.0,58.53,74.34,2,83.88,2,2,2.7,0,0,0,2,0,0,1
86.45,42.27,58.78,1,73.39,2,0,2.5,1,2,2,0,0,1,0
50.73,52.92,68.59,2,61.16,1,0,3.4,2,3,1,2,0,1,0
65.22,47.86,51.78,1,72.92,1,2,2.4,0,3,2,2,1,1,0
89.74,59.4,76.23,1,74.02,2,0,1.7,1,2,2,1,0,1,0
62.09,54.18,64.85,0,62.68,1,0,7.6,1,1,1,2,0,0,0
78.21,39.97,62.77,1,78.67,2,0,3.1,1,1,2,2,0,1,0
82.84,98.36,67.61,0,77.8,1,1,0.0,0,3,0,1,0,0,1
59.02,86.04,68.48,0,79.45,2,0,3.8,2,0,2,1,1,0,0
71.17,53.54,78.74,2,77.79,2,0,2.3,1,3,1,1,1,1,0
26.62,70.36,75.09,0,82.3,1,0,2.7,2,0,1,2,1,1,0
57.66,72.68,66.12,2,73.21,2,2,5.9,0,3,1,1,1,0,1
68.46,85.06,77.16,0,77.02,2,0,3.6,0,3,2,2,0,0,1
54.53,52.9,72.81,1,71.02,2,1,2.2,1,1,0,2,1,1,0
94.85,83.47,62.88,2,69.16,1,0,5.4,1,2,1,2,1,1,0
51.98,57.23,66.5,1,88.38,1,1,6.8,1,2,1,1,1,0,0
65.84,44.63,66.22,2,54.56,2,2,5.6,2,3,0,2,0,1,0
73.83,77.59,74.06,1,83.77,2,0,0.0,2,1,1,2,1,0,1
92.18,86.65,63.6,0,68.79,1,1,2.3,1,0,2,1,1,0,0
51.9,100.0,63.32,2,67.5,1,1,4.6,0,3,1,1,1,0,1
88.28,46.8,91.63,2,77.62,1,1,4.0,0,0,1,2,1,1,0
72.14,77.18,79.28,2,60.1,2,2,3.8,1,0,2,2,0,0,0
58.26,59.44,58.87,0,66.84,1,1,2.5,2,1,0,2,0,1,0
78.47,78.53,74.85,1,66.51,1,0,1.7,0,1,0,1,0,1,0
74.79,42.47,69.42,0,72.79,1,2,8.5,2,2,1,1,1,0,0
63.6,45.8,72.7,0,66.96,1,1,4.6,1,1,2,0,1,0,0
72.98,53.59,69.65,0,91.01,2,2,5.8,2,3,2,1,0,1,0
66.61,67.26,82.28,1,92.97,2,2,4.5,2,3,0,2,1,1,0
73.59,55.74,72.15,0,54.78,1,0,4.6,2,0,0,1,0,1,0
81.27,76.54,67.25,2,80.44,2,1,4.4,0,2,0,1,0,1,0
94.2,82.43,80.51,0,83.59,1,2,2.3,2,0,2,0,1,0,0
54.67,75.59,70.8,1,80.43,2,2,1.5,2,0,2,0,0,1,0
100.0,91.9,69.46,2,68.42,1,1,5.3,2,2,2,2,0,1,0
44.67,72.65,71.77,1,72.56,1,0,4.9,1,0,1,0,1,1,0
69.88,46.53,66.88,0,67.52,2,0,6.4,2,2,1,2,1,0,0
80.24,87.81,68.11,1,70.8,1,1,6.0,2,0,0,2,1,1,0
75.93,56.32,60.96,2,62.9,1,0,2.9,0,0,0,2,0,1,0
63.28,80.57,58.99,1,73.85,2,1,6.8,1,2,1,2,1,1,0
69.09,91.18,56.02,2,59.97,1,1,6.0,2,3,1,0,1,1,0
65.1,73.31,51.3,2,73.0,2,2,5.9,0,0,1,2,1,1,0
63.75,42.06,57.44,0,62.51,1,1,9.0,0,0,1,2,1,0,1
83.89,51.31,65.91,0,77.07,1,0,8.6,2,3,0,1,1,1,0
77.0,87.16,69.24,2,68.21,2,0,5.9,0,2,1,2,1,0,1
62.3,63.29,64.74,1,77.91,2,1,5.6,0,2,1,1,1,0,1
84.59,67.27,39.73,2,85.82,1,2,6.7,0,3,2,0,1,1,0
76.3,78.14,86.9,0,90.89,1,2,3.3,0,2,0,1,1,1,0
83.38,77.14,81.04,1,50.0,2,0,3.4,2,1,0,0,1,0,0
80.81,70.46,73.35,2,66.66,2,1,5.8,2,0,2,0,0,0,0
60.39,62.66,90.89,0,71.97,1,0,2.8,0,2,0,1,0,0,1
64.16,61.0,56.27,2,79.6,1,2,5.7,2,3,0,0,0,0,0
82.46,79.73,90.65,2,58.5,1,0,4.8,2,0,1,0,0,0,0
80.55,74.86,56.42,2,65.18,2,2,2.8,0,3,1,0,1,1,0
71.71,61.88,70.86,1,76.3,1,0,4.6,0,2,0,1,1,1,0
73.64,83.31,52.71,0,75.85,2,0,7.1,0,3,2,0,0,1,0
89.89,63.94,68.18,0,78.78,1,2,4.7,2,3,2,2,1,0,0
63.72,52.37,72.63,2,79.44,2,0,4.7,2,0,0,1,1,1,0
79.66,53.86,66.14,2,78.39,1,0,5.2,1,0,0,2,1,1,0
69.17,50.34,76.57,2,76.94,2,2,5.4,1,2,0,1,1,0,0
68.95,61.64,69.19,1,75.56,2,1,3.8,0,3,0,2,1,1,0
87.38,85.74,61.73,0,81.65,1,2,5.2,1,3,1,0,0,0,0
83.56,53.12,61.2,2,52.61,2,0,2.4,2,2,1,2,0,0,0
83.39,69.02,77.73,0,90.44,2,2,2.9,1,3,0,2,0,0,0
90.28,55.49,60.16,2,52.96,2,0,3.2,1,3,2,2,0,1,0
72.29,61.84,78.98,0,64.21,1,0,5.4,0,3,1,1,0,0,1
81.55,41.84,82.67,2,72.73,1,2,4.8,2,3,0,0,0,1,0
67.66,62.47,47.98,1,81.73,1,0,4.2,2,1,2,0,0,0,0
76.54,62.9,81.6,2,50.0,1,0,5.9,2,2,1,2,0,1,0
70.18,74.64,92.73,2,74.72,2,1,5.3,2,2,1,2,0,0,0
73.36,69.57,71.02,2,82.92,2,0,3.9,1,3,0,1,1,1,0
80.33,46.83,75.19,2,84.95,1,1,2.4,0,2,2,2,1,0,1
60.54,83.35,80.44,2,68.03,2,1,2.9,1,1,0,2,1,1,0
100.0,69.36,64.69,0,71.99,2,2,1.6,2,3,1,2,0,1,1
57.92,69.17,70.19,0,68.84,1,0,4.8,0,0,2,1,0,1,0
55.0,65.85,52.23,1,71.07,1,0,2.8,0,1,1,2,0,0,1
88.21,57.72,69.66,2,64.68,2,0,3.5,2,0,0,2,0,0,0
83.08,69.48,73.98,0,66.11,1,2,4.2,2,2,0,2,0,1,0
80.74,73.61,74.19,0,79.34,2,2,6.6,0,2,1,1,0,1,0
80.8,38.05,80.79,2,76.32,2,0,6.4,2,2,0,1,0,1,0
71.83,57.38,58.7,2,79.92,1,1,4.4,2,3,0,0,1,0,0
59.44,61.92,61.61,1,77.14,1,0,7.0,2,1,1,1,1,1,0
73.06,70.1,90.75,1,82.04,2,0,0.5,2,1,2,0,0,0,0
62.52,85.09,66.2,0,83.78,1,2,8.3,0,3,1,0,0,1,0
85.65,53.65,70.4,1,57.58,2,0,5.9,0,3,1,2,1,0,1
69.94,58.03,67.2,0,66.46,2,2,4.7,1,2,2,0,0,1,0
60.44,57.8,58.14,1,72.69,1,2,2.7,1,1,0,2,1,0,0
67.5,53.18,87.48,2,74.77,1,2,3.6,0,2,2,1,0,0,1
77.78,60.45,61.67,1,68.3,1,0,5.7,1,1,1,1,1,1,0
64.11,78.33,54.47,0,84.12,1,0,5.8,2,3,2,0,1,1,0
60.49,49.14,62.59,1,94.8,2,2,5.8,2,2,0,2,0,1,0
75.41,72.85,43.98,0,76.86,1,0,3.0,0,1,2,0,0,1,0
75.43,38.77,60.18,0,75.84,1,2,2.6,1,3,2,0,0,1,0
64.9,57.02,56.38,1,83.49,1,1,4.9,2,0,1,1,0,0,0
65.41,60.73,75.41,1,56.34,2,0,6.0,1,2,2,0,1,0,0
