jee_main_score,jee_advanced_score,mock_test_score_avg,school_board,class_12_percent,attempt_count,coaching_institute,daily_study_hours,family_income,parent_education,location_type,peer_pressure_level,mental_health_issues,admission_taken,dropout,Income vs Admission,PSxIA,peer_focused_mh,parental_support
71.81,77.7,74.05,2,59.36,1,2,0.8,2,0,2,0,1,1,0,5,1.6999999999999995,1,0.3399999999999999
57.19,74.61,61.5,0,77.25,2,2,3.0,0,3,0,1,0,1,0,3,4.800000000000001,2,1.6
83.52,77.45,44.28,1,64.59,2,1,5.6,2,2,0,2,0,0,0,2,4.26,4,2.13
54.91,100.0,62.06,0,66.88,1,1,4.9,1,1,1,2,0,1,0,4,6.88,4,1.72
74.92,100.0,64.35,0,82.18,1,0,4.8,2,3,0,2,0,1,0,5,10.2,4,2.04
44.56,55.01,64.24,0,95.14,2,1,2.4,0,2,1,0,1,0,1,0,0.0,1,1.1700000000000002
53.41,91.98,75.42,2,75.51,1,2,6.7,1,3,2,0,0,1,0,4,10.84,0,2.71
74.76,72.13,91.83,1,66.83,1,2,4.5,1,2,0,1,1,1,0,4,7.4,3,1.85
82.34,73.99,69.48,2,76.89,1,0,4.6,0,1,2,0,1,1,0,3,4.739999999999999,1,1.5799999999999998
74.4,38.92,65.4,0,84.39,1,1,6.4,0,1,2,0,0,0,1,0,0.0,0,2.17
70.38,63.27,64.89,2,81.21,2,2,2.5,2,0,0,0,0,1,0,5,4.25,0,0.85
67.78,52.99,69.49,1,100.0,2,2,5.0,0,0,1,0,0,1,0,3,4.800000000000001,0,1.6
51.3,79.25,58.06,1,67.85,2,0,5.3,0,1,1,1,1,1,0,3,5.369999999999999,3,1.7899999999999998
61.92,83.14,69.44,0,77.52,1,1,3.4,0,3,0,1,1,1,0,3,5.010000000000001,3,1.6700000000000002
65.55,32.81,73.41,0,90.49,2,2,5.8,0,1,1,1,1,0,1,0,0.0,3,2.04
86.8,65.65,70.52,2,89.86,2,0,5.5,1,2,1,0,0,0,0,1,2.05,0,2.05
76.81,83.95,73.49,1,55.5,1,0,4.3,1,2,2,0,0,1,0,4,6.76,0,1.69
47.32,63.01,73.2,1,74.97,1,0,4.2,1,2,1,2,1,0,0,1,1.66,5,1.66
76.54,77.67,46.74,2,89.85,2,0,5.5,0,1,1,2,1,1,0,3,5.55,5,1.85
66.61,71.62,75.64,1,100.0,1,1,6.1,2,0,0,0,0,0,0,2,3.76,0,1.88
62.52,71.47,59.95,0,82.04,1,2,4.6,2,2,2,2,0,1,0,5,9.4,4,1.88
80.56,61.66,54.85,0,71.32,2,1,6.7,2,2,1,1,1,0,0,2,4.919999999999999,3,2.4599999999999995
86.43,46.53,54.75,2,64.91,2,0,5.8,2,1,0,1,1,1,0,5,9.7,3,1.94
85.04,48.06,73.2,2,97.19,2,2,0.9,1,2,1,1,1,1,0,4,3.08,3,0.77
60.25,77.35,65.33,2,82.29,1,2,1.7,2,1,2,2,0,1,1,5,4.05,4,0.8099999999999999
67.67,66.31,47.82,0,66.52,1,2,6.9,1,0,2,1,0,0,0,1,2.17,2,2.17
76.64,63.78,73.74,2,72.97,1,1,4.0,2,2,2,1,1,0,0,2,3.3000000000000003,3,1.65
85.66,59.22,50.72,1,78.1,1,1,4.8,2,2,2,1,0,1,0,5,9.45,2,1.89
65.29,61.12,69.68,2,80.44,1,0,6.8,1,2,2,0,1,1,0,4,9.76,1,2.44
69.4,82.75,70.86,1,66.0,1,0,4.5,1,1,2,0,1,1,0,4,6.199999999999999,1,1.5499999999999998
56.51,60.64,78.63,0,68.86,2,0,4.6,2,1,0,1,1,0,0,2,3.16,3,1.5799999999999998
55.25,44.54,89.38,1,58.47,2,2,2.8,0,3,2,1,1,1,0,3,4.62,3,1.54
83.38,77.9,51.62,1,85.4,1,0,5.2,2,0,1,0,1,0,0,2,3.12,1,1.56
90.99,62.72,67.37,1,71.58,2,0,5.7,2,3,1,0,1,0,0,2,4.62,1,2.31
70.99,66.5,64.68,0,79.66,2,0,3.3,2,3,1,2,1,1,0,5,7.949999999999999,5,1.59
86.05,91.72,73.2,1,89.22,2,0,2.7,1,3,1,0,0,1,0,4,5.640000000000001,0,1.41
77.06,65.67,70.59,1,77.2,1,0,9.8,2,1,2,1,1,1,0,5,15.7,3,3.14
62.97,70.63,63.77,2,73.87,2,2,4.3,0,2,2,0,0,0,1,0,0.0,0,1.79
77.06,47.14,62.71,2,76.94,2,0,3.1,2,2,0,1,1,1,0,5,6.65,3,1.33
93.53,62.49,54.6,2,75.63,1,1,5.9,0,1,2,2,1,1,0,3,6.0600000000000005,5,2.02
71.5,75.75,79.85,1,87.46,1,0,4.4,0,3,1,0,1,0,1,0,0.0,1,1.92
93.91,41.11,73.51,1,78.11,1,0,2.3,0,0,0,2,1,0,1,0,0.0,5,0.69
35.32,69.21,79.01,0,69.56,2,1,5.5,2,1,0,1,1,1,0,5,9.5,3,1.9
83.51,67.61,64.28,1,85.48,2,1,2.8,1,3,0,1,1,1,0,4,5.96,3,1.49
73.22,66.66,60.12,1,87.3,2,2,7.7,1,1,0,1,0,0,0,1,2.6100000000000003,2,2.6100000000000003
67.81,82.59,55.06,0,61.62,1,0,5.5,2,2,2,1,1,0,0,2,4.1,3,2.05
73.28,71.35,72.31,1,90.33,1,1,3.9,2,2,0,2,1,1,0,5,8.1,5,1.62
44.17,89.65,55.52,0,78.65,1,2,4.7,0,2,2,0,0,0,1,0,0.0,0,1.91
68.92,50.1,90.18,0,77.83,2,0,6.3,2,3,0,0,0,0,0,2,4.98,0,2.49
77.0,68.17,52.31,2,85.07,2,0,4.9,1,1,2,1,0,1,0,4,6.68,2,1.67
92.69,67.35,71.28,1,69.33,2,1,8.7,2,3,2,1,1,1,0,5,16.299999999999997,3,3.26
64.74,48.89,86.8,2,84.54,1,0,6.8,2,1,1,2,1,0,0,2,4.48,5,2.24
60.68,81.3,75.19,1,71.23,1,0,5.5,2,0,2,2,0,1,0,5,8.25,4,1.65
64.98,100.0,70.11,2,60.25,2,1,2.6,0,2,0,1,0,0,1,0,0.0,2,1.2300000000000002
84.82,65.73,56.38,0,65.02,2,0,4.2,2,0,0,1,1,0,0,2,2.52,3,1.26
76.6,74.08,51.42,0,80.67,2,0,5.5,2,2,2,0,0,0,0,2,4.1,0,2.05
64.58,67.35,77.24,0,65.55,1,2,2.9,2,0,2,0,1,0,0,2,1.94,1,0.97
79.19,54.58,86.07,0,91.1,2,2,7.1,1,3,2,0,0,0,0,1,2.83,0,2.83
73.36,36.87,62.73,1,86.89,1,1,2.6,0,2,2,1,1,1,0,3,3.69,3,1.2300000000000002
85.56,54.71,54.33,1,88.33,2,2,3.2,0,3,1,2,1,1,0,3,4.98,5,1.66
62.17,43.73,38.5,2,76.25,2,1,3.4,1,3,1,2,0,0,0,1,1.6700000000000002,4,1.6700000000000002
67.41,93.27,56.23,1,77.58,2,0,6.0,0,1,1,2,1,0,1,0,0.0,5,2.0
66.51,64.16,66.64,1,63.06,2,0,2.9,1,2,1,1,0,1,0,4,5.08,2,1.27
51.51,60.47,87.19,2,84.96,2,0,0.9,0,0,1,1,1,1,0,3,0.81,3,0.27
76.15,80.23,76.08,0,78.8,2,1,6.7,0,0,2,2,0,1,0,3,6.179999999999999,4,2.06
75.65,48.05,71.66,2,80.67,2,0,3.6,0,2,1,2,0,1,0,3,4.44,4,1.48
72.07,53.73,63.2,2,91.88,2,0,2.4,2,1,1,2,0,0,0,2,1.84,4,0.92
68.72,67.09,61.0,0,68.94,2,0,3.0,0,2,2,1,0,0,1,0,0.0,2,1.2999999999999998
52.18,82.46,84.87,2,73.74,2,0,7.9,2,3,2,0,0,1,0,5,14.85,0,2.97
66.11,74.03,70.41,2,78.27,1,0,3.2,2,1,0,0,1,0,0,2,2.32,1,1.16
67.2,69.97,42.77,2,65.65,1,0,4.3,2,3,0,1,0,0,0,2,3.78,2,1.89
60.77,67.25,59.92,1,73.12,2,0,3.6,1,2,0,0,1,1,0,4,5.92,1,1.48
69.74,72.4,57.7,0,79.93,2,0,2.0,0,1,1,2,1,0,1,0,0.0,5,0.8
77.66,69.23,61.44,0,71.75,1,1,3.0,0,2,2,0,0,0,1,0,0.0,0,1.35
98.41,49.52,74.75,2,88.09,1,0,1.9,0,2,0,2,1,0,1,0,0.0,5,0.97
74.44,66.74,66.71,1,59.89,1,0,6.4,2,1,0,1,1,1,0,5,10.6,3,2.12
75.61,48.82,67.08,0,86.23,2,0,4.7,0,1,1,1,1,1,0,3,4.83,3,1.61
70.96,67.3,83.76,0,81.61,2,0,9.5,2,2,0,2,0,0,0,2,6.5,4,3.25
45.14,58.31,59.64,2,69.31,2,1,3.1,2,0,2,2,1,1,0,5,4.9,5,0.98
71.63,100.0,90.37,2,65.76,2,0,2.8,2,1,2,0,1,1,0,5,5.2,1,1.04
72.84,65.36,59.94,2,54.2,1,1,7.6,2,0,0,2,1,0,0,2,4.659999999999999,5,2.33
100.0,43.53,69.07,0,67.05,1,2,6.6,0,0,2,1,0,1,0,3,6.239999999999998,2,2.08
69.31,63.85,64.63,2,85.47,1,2,5.3,2,0,0,1,0,1,0,5,8.45,2,1.69
76.22,74.31,69.48,2,74.44,1,2,2.3,1,0,0,0,0,0,0,1,0.7899999999999999,0,0.7899999999999999
71.51,92.77,73.34,2,86.63,2,0,8.0,1,3,2,2,0,0,0,1,3.0,4,3.0
55.64,56.57,73.21,1,68.8,1,0,4.4,1,2,2,2,0,1,0,4,6.880000000000001,4,1.7200000000000002
88.0,40.68,58.96,2,82.07,1,1,3.6,2,1,1,0,0,1,0,5,6.65,0,1.33
82.53,79.07,54.53,0,67.83,2,2,6.8,0,2,1,1,0,0,1,0,0.0,2,2.54
83.07,43.91,98.04,2,65.34,2,1,4.5,0,2,0,2,0,0,1,0,0.0,4,1.8
59.27,59.02,62.19,0,73.93,2,0,2.2,2,2,2,0,0,0,0,2,2.12,0,1.06
91.64,61.88,76.39,1,68.35,1,1,4.6,2,2,0,0,0,1,0,5,9.15,0,1.83
52.37,64.89,48.71,1,59.57,1,1,2.9,2,2,1,0,1,1,0,5,6.6000000000000005,1,1.32
80.22,77.03,64.64,2,73.18,2,2,0.0,1,1,0,0,0,0,0,1,0.3,0,0.3
100.0,55.06,66.47,0,76.06,2,1,2.7,2,2,2,2,1,0,0,2,2.52,5,1.26
58.13,61.62,73.67,2,87.68,2,2,3.4,2,2,2,0,1,1,0,5,7.6,1,1.52
64.07,65.77,35.33,2,84.37,2,0,2.2,0,2,1,2,1,1,0,3,3.18,5,1.06
73.4,68.39,69.99,0,87.2,1,2,5.7,0,3,0,1,1,0,1,0,0.0,3,2.41
64.95,67.57,54.2,0,82.2,2,1,2.9,1,0,0,0,1,1,0,4,3.68,1,0.92
50.29,72.98,71.89,0,78.33,1,0,5.5,1,3,2,0,1,1,0,4,9.0,1,2.25
72.96,79.5,55.56,0,62.71,2,0,2.0,1,2,1,1,0,1,0,4,4.0,2,1.0
57.13,72.28,57.73,0,76.5,2,0,6.3,1,3,2,0,1,0,0,1,2.49,1,2.49
78.63,73.26,64.72,1,80.97,1,0,1.9,2,1,2,2,1,0,1,2,1.54,5,0.77
59.13,40.68,55.37,1,89.57,2,0,0.0,2,1,1,1,0,1,0,5,1.0,2,0.2
93.7,66.8,62.29,1,81.86,2,1,7.0,1,1,2,1,1,0,0,1,2.35,3,2.35
61.03,73.67,53.68,0,87.4,2,0,2.8,1,0,0,2,1,0,0,1,0.84,5,0.84
67.49,77.66,46.0,0,64.68,1,0,8.0,0,1,0,2,0,0,1,0,0.0,4,2.6
83.39,54.92,80.22,0,71.74,1,0,5.6,0,0,0,1,1,1,0,3,5.04,3,1.68
54.77,55.46,52.45,2,79.29,2,0,6.1,0,1,2,0,0,0,1,0,0.0,0,2.03
75.18,56.81,65.86,1,86.61,2,1,6.6,1,3,1,2,0,0,0,1,2.63,4,2.63
90.3,74.58,77.03,1,73.55,1,0,4.7,0,3,1,2,1,1,0,3,6.029999999999999,5,2.01
49.5,82.54,60.62,2,74.18,1,2,4.7,1,3,1,2,1,1,0,4,8.44,5,2.11
74.58,59.48,58.1,2,81.87,1,0,7.1,2,3,1,1,1,0,0,2,5.46,3,2.73
75.64,80.53,70.71,1,63.74,2,0,4.7,1,0,1,0,1,0,0,1,1.41,1,1.41
82.95,67.98,81.42,0,91.07,2,2,3.0,2,1,2,2,0,0,0,2,2.4,4,1.2
54.68,64.01,53.97,1,66.21,2,2,5.7,2,2,1,1,0,1,0,5,11.05,2,2.21
53.51,62.62,66.2,0,55.81,2,0,0.3,1,3,0,1,0,0,0,1,0.6900000000000001,2,0.6900000000000001
79.31,77.95,47.21,1,75.1,1,2,7.1,0,1,2,0,1,1,0,3,7.290000000000001,1,2.43
76.16,71.21,63.28,1,91.98,1,2,7.2,1,1,0,1,1,1,0,4,9.840000000000002,3,2.4600000000000004
75.51,100.0,68.41,2,80.86,1,0,6.9,0,1,1,1,1,1,0,3,6.8100000000000005,3,2.27
76.85,52.36,57.74,2,82.51,2,0,6.8,2,2,1,2,1,0,0,2,4.88,5,2.44
62.48,74.29,62.52,0,75.41,1,1,4.3,2,3,0,2,1,0,0,2,3.88,5,1.94
75.25,57.53,51.1,0,73.48,2,2,4.3,2,0,0,2,0,0,0,2,2.78,4,1.39
76.1,52.09,68.92,1,59.55,1,0,2.0,2,0,2,1,0,1,0,5,3.0,2,0.6
62.0,65.83,80.67,2,52.41,2,0,8.0,1,2,1,0,0,1,0,4,11.2,0,2.8
98.12,68.2,54.83,0,76.96,2,0,3.5,2,2,1,0,0,0,0,2,2.9000000000000004,0,1.4500000000000002
78.63,100.0,60.53,0,88.13,1,0,5.2,0,0,1,0,0,0,1,0,0.0,0,1.56
55.32,63.05,74.03,0,78.44,1,2,5.0,0,0,0,1,1,1,0,3,4.800000000000001,3,1.6
81.19,47.92,82.55,1,81.24,1,1,1.8,2,3,1,2,0,0,1,2,2.3800000000000003,4,1.1900000000000002
58.35,70.37,50.08,0,90.84,1,0,1.0,1,0,2,1,0,0,0,1,0.3,2,0.3
83.02,32.81,65.97,0,78.29,1,1,4.5,2,0,2,2,0,1,0,5,7.0,4,1.4
88.22,64.53,71.4,2,73.77,1,0,3.6,2,0,0,1,1,1,0,5,5.4,3,1.08
60.51,66.26,66.78,2,66.81,2,0,4.3,0,2,0,1,1,0,1,0,0.0,3,1.69
85.49,78.71,38.28,2,95.22,1,2,6.6,1,0,2,0,0,1,0,4,8.319999999999999,0,2.08
77.78,81.58,74.01,1,80.27,2,0,4.9,1,0,0,1,1,1,0,4,5.88,3,1.47
83.51,57.94,86.23,2,65.56,2,2,6.0,0,3,0,0,1,0,1,0,0.0,1,2.5
98.56,63.59,69.4,2,63.29,2,0,5.4,0,1,1,1,0,1,0,3,5.46,2,1.82
68.56,53.74,55.63,2,87.53,1,1,3.9,0,2,2,0,1,0,1,0,0.0,1,1.62
61.45,47.95,61.84,2,64.63,1,1,2.5,1,2,1,1,1,1,0,4,4.8,3,1.2
59.55,70.96,89.24,0,93.54,1,1,5.0,0,3,2,1,1,0,1,0,0.0,3,2.15
60.58,45.62,78.92,1,50.0,1,0,4.7,0,0,1,2,0,1,0,3,4.23,4,1.41
70.92,59.37,75.68,0,89.23,1,0,6.3,0,1,2,2,0,1,0,3,6.27,4,2.09
76.78,50.08,72.28,0,79.87,1,0,4.2,2,3,2,2,0,1,0,5,9.3,4,1.86
75.87,74.79,60.07,1,76.19,2,1,3.9,1,1,2,1,1,0,0,1,1.42,3,1.42
83.58,94.82,65.59,0,73.25,2,0,4.0,1,0,0,2,0,1,0,4,4.8,4,1.2
72.18,45.17,67.06,2,93.91,2,2,2.7,2,1,1,2,1,1,0,5,5.550000000000001,5,1.11
92.35,36.35,74.59,1,82.07,2,0,7.4,1,3,0,1,1,1,0,4,11.28,3,2.8200000000000003
68.29,64.0,86.11,0,65.97,2,1,6.8,0,0,0,1,0,1,0,3,6.27,2,2.09
100.0,66.25,81.42,0,57.81,1,0,2.1,2,2,2,2,0,0,0,2,2.06,4,1.03
80.76,69.5,50.97,2,76.77,1,1,6.1,0,1,2,2,1,1,0,3,6.239999999999998,5,2.08
60.0,58.86,70.69,0,74.99,2,1,0.8,0,0,0,1,1,1,0,3,0.8699999999999999,3,0.29
57.01,62.79,76.84,0,59.8,2,0,6.5,0,0,0,1,0,1,0,3,5.85,2,1.95
78.75,71.88,75.43,0,74.45,2,0,3.1,0,3,0,0,0,1,0,3,4.59,0,1.53
68.87,82.65,60.45,1,69.26,1,0,5.2,1,0,2,0,1,0,0,1,1.56,1,1.56
82.0,34.72,100.0,1,75.09,1,0,0.6,2,3,2,1,1,1,0,5,3.9,3,0.78
78.63,60.1,52.67,0,82.26,1,0,2.1,2,2,2,1,0,0,0,2,2.06,2,1.03
70.98,69.42,55.0,0,89.93,1,0,5.4,0,1,1,2,1,0,1,0,0.0,5,1.82
60.14,51.31,70.8,2,84.09,1,2,3.1,2,2,0,0,1,0,0,2,2.8600000000000003,1,1.4300000000000002
50.79,93.7,93.4,1,67.79,1,2,2.8,2,3,0,2,1,1,0,5,7.7,5,1.54
65.75,55.83,57.97,1,78.69,1,2,7.3,0,2,1,0,1,0,1,0,0.0,1,2.69
83.99,65.34,64.81,1,75.63,2,0,8.9,0,1,0,2,0,1,0,3,8.61,4,2.87
75.0,74.9,80.93,0,61.68,2,0,6.4,1,2,0,0,0,0,0,1,2.32,0,2.32
54.56,56.54,67.79,2,78.98,1,1,2.3,1,0,0,1,0,1,0,4,2.96,2,0.74
74.42,36.45,63.98,2,93.57,2,0,8.0,0,1,1,1,1,1,0,3,7.800000000000001,3,2.6
77.39,59.14,74.79,0,75.32,1,0,1.4,1,2,1,1,1,1,0,4,3.28,3,0.8200000000000001
59.63,82.47,71.27,0,59.06,2,1,3.9,1,1,0,2,0,0,0,1,1.42,4,1.42
74.15,60.61,80.37,2,75.3,1,0,4.6,2,2,2,0,1,1,0,5,8.899999999999999,1,1.7799999999999998
72.81,52.46,83.5,2,62.86,1,1,8.3,0,0,0,2,1,0,1,0,0.0,5,2.54
56.0,80.81,71.68,1,83.64,2,0,6.3,2,3,0,1,1,1,0,5,12.45,3,2.49
77.01,60.71,71.5,0,80.25,1,2,3.6,2,2,2,0,0,1,0,5,7.9,0,1.58
79.85,57.84,70.57,1,73.29,2,0,2.6,0,1,0,0,1,1,0,3,2.94,1,0.98
87.16,68.39,73.87,2,71.69,1,1,6.5,2,2,0,2,1,0,0,2,4.8,5,2.4
86.75,78.33,68.66,1,72.88,2,2,3.4,1,3,1,1,0,0,0,1,1.7200000000000002,2,1.7200000000000002
52.71,100.0,67.99,2,75.08,1,0,4.9,1,0,0,2,0,1,0,4,5.88,4,1.47
58.87,79.24,82.36,2,67.28,2,0,1.8,1,0,2,2,0,1,1,4,2.16,4,0.54
79.21,84.56,86.19,1,61.12,1,2,5.6,1,3,1,1,1,1,0,4,9.52,3,2.3800000000000003
79.19,57.9,49.91,0,86.39,2,0,5.5,1,0,1,1,0,1,0,4,6.6,2,1.65
79.21,49.59,68.12,1,71.15,2,2,2.0,2,2,2,2,1,1,0,5,5.5,5,1.1
100.0,67.0,59.74,1,76.67,2,0,6.6,0,1,2,0,0,1,0,3,6.539999999999999,0,2.18
79.99,67.71,64.27,0,77.85,2,1,5.6,2,2,1,1,0,0,0,2,4.26,2,2.13
87.9,48.74,72.83,0,78.22,1,0,6.0,2,3,0,1,0,1,0,5,12.0,2,2.4
85.36,63.2,76.03,1,63.26,2,1,3.7,1,2,0,1,0,0,0,1,1.5600000000000005,2,1.5600000000000005
81.12,72.39,66.65,2,58.24,1,1,4.9,1,2,1,1,1,0,0,1,1.92,3,1.92
67.59,71.77,45.04,1,69.11,1,1,4.6,2,3,0,0,1,1,0,5,10.15,1,2.03
82.63,74.07,56.42,2,78.96,1,1,4.2,2,1,1,0,1,1,0,5,7.55,1,1.51
61.18,70.66,78.76,0,67.72,1,0,4.8,0,0,2,2,0,0,1,0,0.0,4,1.44
68.68,57.89,35.11,0,71.45,1,1,7.0,0,3,0,2,1,0,1,0,0.0,5,2.75
65.2,57.78,82.25,2,96.27,1,0,6.6,0,0,0,1,0,0,1,0,0.0,2,1.98
73.15,46.82,74.25,1,56.55,1,0,2.1,0,0,1,2,0,1,0,3,1.89,4,0.63
100.0,94.56,83.79,0,67.45,1,1,6.5,0,3,1,0,1,1,0,3,7.799999999999999,1,2.6
45.86,66.22,65.62,2,93.97,2,0,6.9,1,1,0,1,0,0,0,1,2.27,2,2.27
81.61,62.4,43.26,2,74.55,2,0,4.2,0,3,0,1,0,0,1,0,0.0,2,1.86
49.42,51.14,73.16,1,67.94,1,2,5.5,2,3,0,1,0,1,0,5,11.75,2,2.35
65.39,100.0,83.3,2,86.69,2,0,5.5,1,2,2,2,0,0,0,1,2.05,4,2.05
87.25,48.83,79.1,2,75.55,2,0,2.8,2,2,0,1,0,1,0,5,6.2,2,1.24
72.9,59.14,60.05,1,71.52,1,0,3.7,1,3,0,1,1,1,0,4,6.840000000000001,3,1.7100000000000002
56.91,72.65,69.04,0,76.92,2,0,6.0,1,2,1,0,1,0,0,1,2.2,1,2.2
61.99,75.6,61.61,0,68.42,2,0,3.5,0,1,2,1,0,1,0,3,3.75,2,1.25
81.51,81.33,58.17,0,64.83,2,2,6.5,2,2,1,2,0,1,0,5,12.25,4,2.45
61.77,94.92,79.46,2,73.86,1,1,7.1,0,1,0,1,1,0,1,0,0.0,3,2.38
75.03,74.1,53.63,2,64.89,1,1,6.8,2,0,2,2,0,1,0,5,10.45,4,2.09
72.64,49.1,57.27,1,75.11,2,1,8.5,2,0,0,0,1,1,0,5,12.999999999999998,1,2.6
62.88,61.89,54.75,2,78.54,1,2,4.3,0,1,2,0,1,0,1,0,0.0,1,1.59
100.0,70.93,50.12,2,83.53,1,0,4.9,0,0,2,1,0,1,0,3,4.41,2,1.47
80.87,99.09,69.76,0,86.28,2,2,5.1,1,1,2,0,0,1,0,4,7.319999999999999,0,1.83
43.65,43.64,81.94,2,70.94,2,0,4.4,1,3,2,1,0,1,0,4,7.680000000000001,2,1.92
74.61,85.24,65.78,2,79.99,2,0,5.6,1,2,2,0,1,0,0,1,2.08,1,2.08
62.73,68.88,49.93,2,79.93,2,1,1.1,2,0,2,0,1,1,0,5,1.9,1,0.38
83.93,79.41,78.08,1,78.28,1,0,4.9,0,0,1,2,0,0,1,0,0.0,4,1.47
60.9,64.37,88.23,2,70.21,1,0,1.7,1,3,1,2,0,1,1,4,4.44,4,1.11
70.39,52.52,60.25,1,64.72,1,1,2.6,0,2,0,1,1,0,1,0,0.0,3,1.2300000000000002
79.07,78.01,62.26,0,80.02,1,0,6.0,1,2,2,1,1,0,0,1,2.2,3,2.2
84.12,76.47,74.19,2,57.93,1,2,4.1,1,1,2,2,1,1,0,4,6.119999999999999,5,1.5299999999999998
55.2,81.55,87.46,1,72.32,1,1,5.9,0,0,1,0,1,0,1,0,0.0,1,1.82
67.32,65.79,61.76,0,50.0,1,1,4.1,1,2,0,1,0,1,0,4,6.72,2,1.68
65.35,56.4,52.01,2,61.64,1,2,6.7,0,0,0,0,1,1,0,3,6.33,1,2.11
62.85,41.06,75.58,1,66.23,1,0,4.0,1,0,1,2,0,0,0,1,1.2,4,1.2
96.72,79.11,77.59,1,85.97,2,1,0.6,0,0,1,0,1,1,0,3,0.69,1,0.2299999999999999
77.67,72.78,68.07,0,81.88,1,1,5.0,1,0,2,0,1,0,0,1,1.55,1,1.55
54.35,50.55,61.3,2,69.46,1,0,0.2,1,1,1,1,1,1,0,4,1.04,3,0.26
84.85,57.38,79.93,2,82.29,1,2,1.6,2,2,2,0,1,0,0,2,1.96,1,0.98
100.0,58.53,74.34,2,83.88,2,2,2.7,0,0,0,2,0,0,1,0,0.0,4,0.91
86.45,42.27,58.78,1,73.39,2,0,2.5,1,2,2,0,0,1,0,4,4.6,0,1.15
50.73,52.92,68.59,2,61.16,1,0,3.4,2,3,1,2,0,1,0,5,8.100000000000001,4,1.62
65.22,47.86,51.78,1,72.92,1,2,2.4,0,3,2,2,1,1,0,3,4.260000000000001,5,1.4200000000000002
